1	村濱章司
1	小林誠
1	冨岡淳広
1	滝沢敏文
3	池田康隆
3	館信一郎
3	梅崎ひろこ
3	河野次郎
3	出羽良彰
3	飯田里樹
3	花邑まい
4	村上正博
4	山崎嘉雅
4	高橋歩
4	並木智
4	井上佳津枝
4	石井百合子
4	檜垣亮
4	大谷幸
4	岩浪美和
4	平柳悟
4	いとうのいぢ
4	水島努
4	綾辻行人(角川書店)
5	内田哲夫
5	春日井浩之
5	川上善美
5	荒川眞嗣
5	古賀誠
5	布施木一喜
5	佐藤順一
5	Choro Club feat. Senoo
5	西川淳一郎
5	吉田玲子
5	天野こずえ
6	内田哲夫
6	西山茂
6	吉田寛
6	川上善美
6	西川淳一郎
6	竹下健一
6	吉川洋史
6	熊谷哲矢
6	古賀誠
7	佐藤順一
7	Choro Club feat. Senoo
7	音地正行
7	古賀誠
1087	GENCO
1087	ハピネット
6066	磯光雄
3106	トムス・エンタテインメント、日本テレビ、VAP
7	内田哲夫
7	春日井浩之
8	岡野強
8	望月敬一郎
8	吉松隆
8	三間雅文
8	加藤ひろし
8	小中和哉
8	手塚治虫
9	きむらひでふみ
9	小山俊久
9	番由紀子
9	田上俊介
9	真下耕一
10	久保博志
10	今瀬智子
10	滝川和男
10	小林多加志
10	鳥取砂丘
10	鴻野貴光
10	飯田里樹
10	東厚治
10	金子ツトム
10	髙田淳
12	植松淳一
12	村上正博
12	亀井幹太
12	古川誠
12	渡邊陽子
12	西村博之
12	本郷みつる
12	光元紋(スタジオ美峰)
12	海谷敏久
13	植竹須美男、鈴木雅司、鴻野貴光、山田靖智
13	植竹須美男
35	錦織博
1087	ゼロの使い魔製作委員会(メディアファクトリー、松竹、GENCO)
1088	ヤマグチノボル
1088	岩崎良明
1088	ヤマグチノボル(MF文庫J)
3106	相馬満
3106	宮繁之
3106	佐野由里子
3106	宮川佳和
6066	吉田健一
6066	SIGNAL.MD
13	伊藤映里
13	右山章太
13	井口光隆
13	よろず屋
13	松本昌子
9	ビクターエンタテインメント
10	細井聡司
10	5pb.
12	ヨシダミキ
12	平澤晃弘
12	竹内敦志
12	Production I.G
12	NINJA TUNE
12	三間雅文
13	河野悦隆
13	仁昌寺義人
13	小坂部直子
14	名倉靖
14	山田稔
14	児玉隆
14	菊田浩巳
14	西田和成
14	店橋真弓
14	石浜真史
14	倉田英之
14	岩崎琢
5727	むらさきゆきや
14	羽音たらく
14	舛成孝二
15	藤咲淳一
15	古橋一浩
5727	鶴崎貴大
1088	ゼロの使い魔F製作委員会(メディアファクトリー、ティー・オーエンタテインメント、ブシロード、コスパ、日本コロムビア、AT-X、GENCO)
1088	GENCO
1088	日本コロムビア
5727	村野佑太
1088	後藤正浩(REAL-T)
1088	武原健二
1088	但野ゆきこ、石川恭介
1088	野田康行
1088	藤井昌宏
1088	ヤスカワショウゴ
1088	光宗信吉
1088	廣瀬義憲
1088	兎塚エイジ
3106	西香代子
3106	石原由梨
1089	ゼロの使い魔製作委員会(メディアファクトリー、松竹、GENCO)
1089	中西智一
1089	石川恭介
1089	藤井昌宏
1089	長谷川菜穂子
1089	兎塚エイジ
1089	高橋剛
1089	廣瀬義憲
1089	紅優
1089	ヤマグチノボル(MF文庫J)
1090	廣瀬義憲
1090	兎塚エイジ
1090	河原ゆうじ
1090	紅優
20	右山章太
20	村田峻治
21	米村正二
21	村山達哉
21	小林七郎
21	数井浩子
21	松村康弘
21	藤島康介
23	小林美代子
23	柳沢テツヤ
4822	池頼広
23	西田マサラ
23	岩浪美和
23	河野次郎
23	藤井まき
1088	明田川仁
15	士郎正宗
20	松山愛子
20	余田光隆
23	小林靖子
23	山口祐司
5727	筆安一幸
5727	金子志津枝
5727	西岡夕樹
24	肥田文
24	五十嵐慎一
24	渡部岳
24	茂木孝浩
24	村井秀清
24	清水洋史
24	金子英俊
24	細居美恵子
24	茶麻
25	川添憲五
25	ちょぼらうにょぽみ
1090	ゼロの使い魔製作委員会(メディアファクトリー、松竹、GENCO)
1090	GENCO
1090	ハピネット
1090	後藤正浩
1090	福世晋吾
1090	石川恭介
1090	藤井昌宏
1090	光宗信吉
1090	高橋剛
1092	フジテレビ、タツノコプロ
1092	永井昌嗣、横尾潔
1092	大河原邦男、中村光毅
1092	下元明子、西城隆詞、中森恵子、吉田すずか
3106	水村良男
3106	鈴木清司
1092	九里一平、鳥海尽三、柳川茂、酒井あきよし
1092	神保正明、山本正之
1092	天野嘉孝
1092	笹川ひろし
1092	タツノコプロ企画室
1093	久城りおん
1093	ESE
3106	浄園祐、植野浩之、植田泰生
3106	松本理人、三浦姫、平山博志
34	NHK
34	NHKエンタープライズ21、総合ビジョン
34	近藤栄三
34	伊原英夫、内沢康子、佐藤公則
34	吉本聡
34	芦野芳晴
34	雪室俊一
34	なかよし(講談社)
34	辻陽
35	あずまきよひこ
1093	GENCO
1093	アース・スター レコード
1093	瀬山武司
1093	福士直也
1093	浅川茂輝
1093	三笠修
1093	滝口勝久
1093	宇佐美皓一
1093	宮川治雄
1093	蜂文太
24	小木曽伸吾
24	中村亮介
1093	月刊コミックアース・スター(アース・スター エンターテイメント)
1093	夏木きよひと
1093	小西香葉、近藤由紀夫(MOKA☆)(office PAKCHYS Inc)
1093	清水勝則
1093	前田実
1093	桜井正明、羽野広範
1093	りんしん
1093	兵頭一歩
1094	世界一くらぶ!!
1094	郷田ほづみ
1094	松村正宏
1094	近藤慎与
1094	松本真司
1094	番由紀子
1094	CIEL(角川書店)
1094	安瀬聖
1094	清水順子
1094	菊池洋子
1094	武田日向
1094	中瀬理香
1094	今千秋
1094	中村春菊
1095	世界一くらぶ!!
1095	郷田ほづみ
1095	松村正宏
1095	近藤慎与
1095	松本真司
1095	CIEL(角川書店)
1095	安瀬聖
1095	清水順子
1095	菊池洋子
1095	中瀬理香
1095	今千秋
1095	中村春菊
1097	黒星紅白
1097	星空めてお(TYPE-MOON)、岡村天斎
1097	岡村天斎
1097	hunting cap brothers
3106	大野雄二
37	キャーティア大使館(ポニーキャニオン、AIC、メディアファクトリー、クロックワークス、ランティス、AT-X)
